Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_CGPA,Sleep_Hours,Social_Hours_Week,Final_CGPA,Attendance_Category,Performance_Band,Pass_Fail,Risk_Level,Risk_Score
ID00001,Male,20,Engineering,83.9,4.4,2.65,9.1,8,2.78,Good,Good,1,Low Risk,21.457499999999996
ID00002,Female,24,Business,80.7,4.0,3.58,4.0,4,3.76,Good,Excellent,1,Low Risk,16.36
ID00003,Female,20,Mathematics,91.5,3.9,3.29,6.7,4,3.75,Excellent,Excellent,1,Low Risk,14.4375
ID00004,Female,23,Engineering,73.9,8.8,3.48,4.0,6,3.69,Low,Excellent,1,Medium Risk,16.294999999999998
ID00005,Male,21,Economics,79.8,2.2,2.66,8.7,6,2.34,Good,Average,1,Low Risk,32.015
ID00006,Male,20,Business,86.8,3.5,2.16,7.0,7,2.41,Excellent,Average,1,Medium Risk,28.04
ID00007,Male,22,Mathematics,77.5,3.6,2.66,8.7,5,2.69,Good,Good,1,Low Risk,27.450000000000003
ID00008,Female,20,Psychology,95.0,4.7,3.44,7.4,4,3.76,Excellent,Excellent,1,Low Risk,8.35
ID00009,Female,22,Computer Science,100.0,4.3,4.0,5.0,12,4.0,Excellent,Excellent,1,Low Risk,2.8000000000000007
ID00010,Female,24,Economics,73.7,4.1,2.89,5.5,3,3.01,Low,Very Good,1,Medium Risk,25.1475
ID00011,Male,20,Business,60.0,2.2,4.0,6.8,14,4.0,Low,Excellent,1,Medium Risk,29.2
ID00012,Female,22,Computer Science,55.0,4.3,3.51,7.9,4,3.38,Critical,Very Good,1,High Risk,27.337500000000002
ID00013,Female,20,Psychology,82.7,6.0,2.4,7.1,9,2.75,Good,Good,1,Medium Risk,21.785
ID00014,Male,24,Engineering,75.1,4.8,3.21,7.3,6,3.2,Good,Very Good,1,Low Risk,18.917500000000004
ID00015,Male,20,Engineering,88.1,2.1,3.53,6.5,10,3.71,Excellent,Excellent,1,Low Risk,21.067500000000003
ID00016,Male,19,Mathematics,87.0,4.5,1.89,8.7,11,2.03,Excellent,Average,1,High Risk,26.312500000000004
ID00017,Male,22,Business,61.0,4.3,3.42,7.2,8,3.36,Low,Very Good,1,Medium Risk,25.425
ID00018,Male,24,Business,57.8,3.4,3.69,7.1,14,3.31,Critical,Very Good,1,High Risk,28.1025
ID00019,Male,22,Mathematics,89.4,4.8,3.3,7.4,8,3.75,Excellent,Excellent,1,Low Risk,11.695
ID00020,Male,22,Computer Science,87.0,2.9,3.07,6.4,11,3.41,Excellent,Very Good,1,Low Risk,22.387500000000003
ID00021,Female,18,Engineering,78.6,6.2,3.01,6.5,7,3.11,Good,Very Good,1,Low Risk,18.292500000000004
ID00022,Male,24,Engineering,60.1,11.0,2.98,7.7,7,3.26,Low,Very Good,1,Medium Risk,26.879999999999995
ID00023,Male,20,Business,92.1,6.5,2.51,8.2,8,2.93,Excellent,Good,1,Low Risk,16.592500000000005
ID00024,Male,22,Business,100.0,2.6,2.76,8.3,6,2.79,Excellent,Good,1,Low Risk,20.450000000000003
ID00025,Male,23,Mathematics,89.2,6.0,2.89,6.7,4,3.2,Excellent,Very Good,1,Low Risk,14.572499999999998
ID00026,Female,18,Psychology,72.3,6.8,3.16,7.2,12,3.3,Low,Very Good,1,Medium Risk,19.814999999999998
ID00027,Male,19,Computer Science,85.7,5.2,2.82,6.1,9,3.26,Excellent,Very Good,1,Low Risk,16.759999999999998
ID00028,Male,22,Economics,64.5,5.6,2.67,8.2,5,2.79,Low,Good,1,Medium Risk,27.612499999999997
ID00029,Female,22,Psychology,100.0,4.0,3.48,5.6,9,3.8,Excellent,Excellent,1,Low Risk,8.55
ID00030,Male,18,Psychology,86.2,1.9,3.29,7.3,7,3.49,Excellent,Very Good,1,Medium Risk,24.822499999999998
ID00031,Female,20,Business,58.5,3.9,2.83,8.3,6,2.54,Critical,Good,1,High Risk,33.3125
ID00032,Male,23,Business,80.5,2.3,3.35,7.2,7,3.5,Good,Excellent,1,Low Risk,25.2625
ID00033,Male,19,Business,91.9,3.7,2.87,7.5,8,3.2,Excellent,Very Good,1,Low Risk,18.732499999999995
ID00034,Female,22,Psychology,80.0,3.0,3.13,6.6,10,3.48,Good,Very Good,1,Low Risk,24.6125
